Keyword,Angle,Location,Language,Jan-2024,Feb-2024,Mar-2024,Apr-2024,May-2024,Jun-2024,Jul-2024,Aug-2024,Sep-2024,Oct-2024,Nov-2024,Dec-2024,Jan-2025,Feb-2025,Mar-2025,Apr-2025,May-2025,Jun-2025,Jul-2025,Aug-2025,Sep-2025,Oct-2025,Nov-2025,Dec-2025,Competition
cách vay tiền trên cake,Competitor_Cake,Vietnam,VI,210,90,70,110,140,210,390,320,320,260,260,320,210,170,170,210,170,70,50,70,50,70,50,90,MEDIUM(57)
thẻ cake vpbank,Competitor_Cake,Vietnam,VI,210,170,210,210,260,260,260,170,140,140,170,110,90,110,170,110,140,90,170,140,110,110,140,110,LOW(16)
điều kiện mở thẻ tín dụng cake,Competitor_Cake,Vietnam,VI,320,140,170,170,170,170,210,210,140,140,140,140,140,140,140,110,170,140,110,90,110,110,140,90,LOW(23)
ngân hàng số cake by vpbank,Competitor_Cake,Vietnam,VI,170,110,110,90,140,170,170,140,140,170,170,210,140,140,140,110,110,110,110,140,140,140,210,320,LOW(9)
cake có đếm được không,Competitor_Cake,Vietnam,VI,90,70,110,110,110,90,170,170,140,170,210,170,70,70,90,90,90,110,170,140,110,140,170,210,LOW(0)
mở tài khoản vpbank nhận 800k,Competitor_Cake,Vietnam,VI,170,110,140,110,170,170,140,110,480,210,140,110,90,90,90,50,70,50,50,70,70,50,50,40,LOW(26)
cake ngân hàng số có cho vay tiền không,Competitor_Cake,Vietnam,VI,30,70,20,40,50,110,170,140,70,90,110,110,90,90,110,90,90,90,210,170,140,210,260,260,LOW(20)
cake là ngân hàng nào,Competitor_Cake,Vietnam,VI,50,10,30,20,10,70,30,30,30,90,40,70,40,40,40,110,90,110,170,140,210,320,480,390,LOW(2)
cake thuộc ngân hàng nào,Competitor_Cake,Vietnam,VI,70,40,50,90,50,90,110,90,90,140,90,140,110,110,110,140,140,110,140,110,110,140,140,170,LOW(1)
the tín dụng cake,Competitor_Cake,Vietnam,VI,170,110,170,140,170,210,170,140,140,110,70,70,70,50,70,30,40,10,30,40,40,20,20,20,MEDIUM(34)
cake by vpbank lãi suất,Competitor_Cake,Vietnam,VI,40,110,30,70,110,90,110,90,70,70,50,50,50,140,110,110,110,90,90,70,50,50,70,170,LOW(0)
cake ngân hàng,Competitor_Cake,Vietnam,VI,70,50,70,30,50,90,90,70,90,90,90,140,70,90,90,70,90,90,90,70,90,110,110,90,LOW(3)
cake by vpbank logo,Competitor_Cake,Vietnam,VI,390,70,70,70,70,70,90,70,70,50,50,50,70,70,70,50,90,50,90,40,50,70,70,70,LOW(0)
mở thẻ tín dụng be cake,Competitor_Cake,Vietnam,VI,170,90,70,70,90,110,140,110,110,70,90,90,70,70,50,50,50,20,30,20,20,30,40,30,HIGH(74)
điều kiện mở the tín dụng cake,Competitor_Cake,Vietnam,VI,210,70,50,40,50,50,110,110,110,70,70,140,70,50,50,50,30,10,10,20,10,30,20,20,LOW(18)
cake mod apk,Competitor_Cake,Vietnam,VI,90,70,110,70,90,90,140,90,90,70,40,20,20,40,50,50,50,30,70,70,30,20,30,20,LOW(0)
đăng ký thẻ tín dụng cake,Competitor_Cake,Vietnam,VI,90,50,70,70,90,70,110,90,70,90,70,70,40,70,50,40,30,30,40,50,30,40,40,30,MEDIUM(62)
cake vay tiền,Competitor_Cake,Vietnam,VI,170,90,50,20,20,70,70,40,20,30,110,50,50,30,70,40,40,40,70,70,70,70,40,40,HIGH(72)
cách vay cake,Competitor_Cake,Vietnam,VI,30,20,20,10,20,50,40,70,50,50,50,50,70,30,50,70,50,70,50,70,70,110,90,110,MEDIUM(53)
cake tín dụng,Competitor_Cake,Vietnam,VI,170,30,30,40,70,70,50,50,50,50,50,70,40,50,30,40,50,50,40,40,40,40,70,40,MEDIUM(44)
cách mở thẻ tín dụng cake,Competitor_Cake,Vietnam,VI,90,30,50,50,50,70,50,50,70,70,40,70,40,50,40,30,20,30,40,50,40,50,50,70,MEDIUM(56)
mở thẻ be cake,Competitor_Cake,Vietnam,VI,90,50,70,70,70,70,90,50,50,70,40,40,30,40,30,30,30,20,20,10,20,20,30,30,MEDIUM(53)
vay tiêu dùng cake,Competitor_Cake,Vietnam,VI,70,20,40,40,40,50,70,70,40,50,70,40,30,30,20,30,40,40,50,50,50,30,30,40,MEDIUM(44)
cake learn english,Competitor_Cake,Vietnam,VI,20,50,50,30,40,30,40,30,20,30,10,40,20,40,30,50,70,70,110,50,70,30,10,40,LOW(21)
cake apk,Competitor_Cake,Vietnam,VI,40,40,70,50,70,50,70,50,30,40,50,40,20,30,20,20,40,20,30,20,40,20,30,40,LOW(2)
vay app cake,Competitor_Cake,Vietnam,VI,30,20,10,20,20,40,40,70,70,40,40,40,30,20,20,30,50,50,50,40,30,50,50,50,MEDIUM(50)
vay tiền trên cake,Competitor_Cake,Vietnam,VI,50,20,30,30,30,50,40,30,50,50,50,50,40,20,40,20,40,30,50,30,20,20,30,30,MEDIUM(51)
cake của vpbank,Competitor_Cake,Vietnam,VI,40,20,40,20,10,20,20,40,30,40,40,40,30,40,40,30,50,40,40,40,40,20,20,50,LOW(4)
thẻ tín dụng cake vpbank,Competitor_Cake,Vietnam,VI,70,40,40,40,30,20,30,50,70,30,40,30,30,20,30,20,20,30,20,20,20,10,20,10,LOW(13)
mở the tín dụng cake,Competitor_Cake,Vietnam,VI,90,40,50,50,50,90,50,30,50,30,20,50,30,10,10,10,0,10,10,10,20,10,10,10,HIGH(86)
be cake vpbank,Competitor_Cake,Vietnam,VI,40,50,40,50,50,70,70,40,30,40,30,20,10,20,20,20,10,40,20,10,10,10,10,10,MEDIUM(38)
làm thẻ tín dụng cake,Competitor_Cake,Vietnam,VI,50,30,70,20,30,50,40,30,50,40,30,50,10,30,30,10,20,20,20,20,10,10,20,20,MEDIUM(59)
cake english mod apk,Competitor_Cake,Vietnam,VI,30,70,20,40,20,30,50,50,40,40,40,30,20,30,10,10,20,20,20,20,40,10,20,10,LOW(0)
cake liên kết với ngân hàng nào,Competitor_Cake,Vietnam,VI,30,30,30,40,50,20,10,10,40,40,40,50,30,10,20,20,20,10,20,20,20,20,20,20,LOW(3)
vay trên cake,Competitor_Cake,Vietnam,VI,20,20,20,30,20,40,40,30,20,20,30,40,20,10,20,20,30,20,30,30,30,20,20,20,MEDIUM(40)
cake mod apk premium,Competitor_Cake,Vietnam,VI,10,20,10,30,20,50,70,40,30,50,50,50,20,20,40,10,10,10,10,10,10,10,10,10,UNSPECIFIED
thẻ cake tín dụng,Competitor_Cake,Vietnam,VI,40,20,20,40,30,50,30,30,20,20,10,30,10,10,10,20,20,20,30,20,10,10,10,70,LOW(33)
vay tiền qua cake,Competitor_Cake,Vietnam,VI,20,10,10,30,10,20,30,20,20,20,30,10,20,20,30,20,20,20,30,30,20,30,30,20,MEDIUM(47)
mở thẻ cake vpbank,Competitor_Cake,Vietnam,VI,10,20,50,30,40,30,30,40,20,20,20,30,10,10,20,20,20,10,20,10,20,10,10,10,HIGH(68)
app cake vpbank,Competitor_Cake,Vietnam,VI,10,20,10,10,10,10,10,10,50,30,20,50,30,40,30,40,40,20,10,10,10,10,10,10,LOW(1)
đăng ký vay cake,Competitor_Cake,Vietnam,VI,90,20,20,10,10,20,30,30,10,20,20,30,20,10,20,10,10,10,20,20,10,10,20,20,MEDIUM(60)
by vpbank,Competitor_Cake,Vietnam,VI,10,10,10,20,10,10,10,20,10,10,10,30,20,20,10,20,10,20,20,40,20,50,70,30,LOW(13)
vay tien cake,Competitor_Cake,Vietnam,VI,20,10,10,20,10,30,40,20,20,10,30,20,20,10,20,10,20,20,20,20,30,10,20,20,MEDIUM(54)
cách vay tiền cake,Competitor_Cake,Vietnam,VI,30,10,10,20,30,30,30,30,20,10,10,20,10,10,10,20,20,20,20,20,10,10,10,30,HIGH(76)
cake có vay tiền được không,Competitor_Cake,Vietnam,VI,30,10,20,20,20,10,10,10,10,20,20,10,10,10,40,40,10,10,30,20,20,10,20,20,LOW(21)
cake by vpbank thẻ tín dụng,Competitor_Cake,Vietnam,VI,70,10,10,10,10,10,20,10,10,20,10,10,10,10,30,10,10,10,20,50,10,10,10,10,LOW(23)
app cake english,Competitor_Cake,Vietnam,VI,20,10,50,20,10,10,10,20,20,10,10,10,20,10,30,10,10,10,10,10,10,10,10,10,LOW(24)
hướng dẫn vay cake,Competitor_Cake,Vietnam,VI,10,10,10,10,10,10,10,10,10,10,20,20,20,10,10,20,10,20,10,20,10,10,20,20,MEDIUM(35)
mở thẻ tín dụng cake by vpbank,Competitor_Cake,Vietnam,VI,10,10,10,10,10,30,10,20,10,10,10,10,10,10,10,10,10,10,10,20,40,20,10,10,HIGH(70)
cake apk mod,Competitor_Cake,Vietnam,VI,10,20,20,20,20,20,30,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,LOW(0)
cake plus mod apk,Competitor_Cake,Vietnam,VI,10,10,10,30,10,10,20,20,20,10,10,10,10,10,20,10,20,10,20,20,20,0,10,0,UNSPECIFIED
cake có cho vay tiền không,Competitor_Cake,Vietnam,VI,10,10,10,10,10,20,10,10,10,10,10,20,10,10,10,20,10,10,10,10,10,10,20,10,LOW(26)
cách vay trên cake,Competitor_Cake,Vietnam,VI,10,10,10,10,10,10,10,10,10,10,20,10,20,10,10,10,10,10,10,10,20,10,10,10,MEDIUM(43)
cake by vpb,Competitor_Cake,Vietnam,VI,20,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,LOW(1)
cake ngan hang so,Competitor_Cake,Vietnam,VI,20,10,10,10,10,20,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,LOW(18)
đăng ký cake vpbank,Competitor_Cake,Vietnam,VI,10,20,20,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,HIGH(71)
cake pc,Competitor_Cake,Vietnam,VI,10,10,10,20,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,LOW(1)
cake plus apk,Competitor_Cake,Vietnam,VI,10,10,10,30,10,10,10,10,20,20,10,10,0,10,10,10,10,10,10,10,10,0,10,10,LOW(0)
hướng dẫn vay tiền trên cake,Competitor_Cake,Vietnam,VI,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,UNSPECIFIED
hướng dẫn vay tiền cake,Competitor_Cake,Vietnam,VI,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,0,UNSPECIFIED
app cake của vpbank,Competitor_Cake,Vietnam,VI,10,10,10,0,10,10,10,10,10,10,0,10,10,10,10,10,0,10,10,10,10,0,10,10,LOW(3)
cake learn english mod,Competitor_Cake,Vietnam,VI,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,0,10,10,0,0,0,0,10,LOW(0)
vay tiêu dùng ngân hàng số cake,Competitor_Cake,Vietnam,VI,10,10,10,10,10,0,0,0,0,10,10,10,10,10,10,0,10,10,0,10,10,0,10,10,LOW(29)
cake for pc,Competitor_Cake,Vietnam,VI,10,10,10,0,10,10,10,0,10,10,10,10,0,0,10,0,0,10,0,0,10,10,10,0,LOW(0)
cake by vpbank nhận 800k,Competitor_Cake,Vietnam,VI,10,10,10,10,10,10,10,0,10,10,0,0,10,10,10,0,0,10,0,0,0,0,0,10,UNSPECIFIED
cake plus apk mod,Competitor_Cake,Vietnam,VI,0,0,0,10,10,10,0,10,10,0,10,10,0,0,10,10,0,0,30,0,10,0,0,0,LOW(0)
cake pro apk,Competitor_Cake,Vietnam,VI,10,10,10,10,0,10,0,10,0,0,0,0,10,0,0,0,10,10,10,10,10,0,0,0,LOW(0)
cake apk mod premium,Competitor_Cake,Vietnam,VI,20,10,10,20,0,10,0,10,10,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,UNSPECIFIED
cake english pc,Competitor_Cake,Vietnam,VI,10,10,10,10,20,10,10,0,0,10,0,0,0,10,0,0,10,0,0,0,0,0,0,0,UNSPECIFIED
cake premium mod apk,Competitor_Cake,Vietnam,VI,10,10,0,10,0,10,10,10,10,10,0,0,0,0,10,0,10,0,0,0,10,0,0,0,UNSPECIFIED
cake english online,Competitor_Cake,Vietnam,VI,10,0,10,0,10,10,10,0,0,10,0,0,0,0,0,10,10,10,0,0,10,0,0,0,UNSPECIFIED
cake nhận 50k,Competitor_Cake,Vietnam,VI,0,10,10,10,10,0,10,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,10,0,LOW(0)
cake plus premium apk,Competitor_Cake,Vietnam,VI,0,0,0,10,0,0,10,0,0,0,0,10,0,0,10,0,0,0,10,10,0,0,10,0,UNSPECIFIED
cake vn onelink,Competitor_Cake,Vietnam,VI,0,10,0,10,10,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UNSPECIFIED
cake có vay tiền không,Competitor_Cake,Vietnam,VI,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,10,0,10,0,0,UNSPECIFIED
cake ngân hàng số nhận 50k,Competitor_Cake,Vietnam,VI,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UNSPECIFIED
cake apk premium 4.2 3,Competitor_Cake,Vietnam,VI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UNSPECIFIED
cake learn english web,Competitor_Cake,Vietnam,VI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UNSPECIFIED
cake premium apk 2022,Competitor_Cake,Vietnam,VI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UNSPECIFIED
hd saison,Competitor_HDSaison,Vietnam,VI,90500,60500,74000,74000,60500,60500,74000,60500,60500,60500,60500,60500,60500,60500,74000,60500,74000,60500,60500,60500,60500,60500,49500,49500,LOW(17)
hd saison vay tiền mặt,Competitor_HDSaison,Vietnam,VI,9900,5400,6600,6600,6600,6600,6600,6600,5400,5400,5400,6600,5400,3600,4400,3600,3600,3600,2900,2900,2900,2400,1300,1300,MEDIUM(66)
vay hd saison,Competitor_HDSaison,Vietnam,VI,2900,1600,2400,2400,2400,2900,2900,2400,2400,2400,2900,2400,2400,1900,2400,2400,2400,1900,1900,2400,1900,2400,1900,2400,HIGH(72)
hd saison vay tiêu dùng,Competitor_HDSaison,Vietnam,VI,4400,1900,2400,2400,1000,1600,1600,1300,1300,1300,1000,1300,1600,880,590,590,720,720,590,880,880,590,480,390,HIGH(69)
cong ty tai chinh tnhh hd saison,Competitor_HDSaison,Vietnam,VI,1600,880,1600,1600,1600,1900,1900,1600,1300,1300,1300,1300,880,1000,1300,1000,1000,1000,1300,1000,1000,1000,880,1000,LOW(2)
ngân hàng hd saison,Competitor_HDSaison,Vietnam,VI,1900,1000,1600,1600,1600,1600,1600,1300,1000,1300,1300,1300,1000,1300,1600,1000,1000,880,880,880,880,880,880,880,LOW(10)
vay tiền bằng hợp đồng trả góp hd saison,Competitor_HDSaison,Vietnam,VI,2400,1000,1600,1600,1900,1900,1600,1600,1300,1300,1300,1300,1000,880,880,880,880,880,880,720,720,720,480,480,MEDIUM(44)
thẻ tín dụng hd saison,Competitor_HDSaison,Vietnam,VI,2400,1000,1600,1600,1300,1300,1600,1300,1000,1000,1000,1000,880,1000,1000,880,720,720,590,720,880,1000,1000,1000,LOW(18)
công ty hd saison,Competitor_HDSaison,Vietnam,VI,1900,1000,1300,1000,880,2400,2400,1600,1300,590,480,480,390,390,590,390,480,390,320,320,320,480,320,320,LOW(1)
cty hd saison,Competitor_HDSaison,Vietnam,VI,1900,1000,1300,1000,880,2400,2400,1600,1300,590,480,480,390,390,590,390,480,390,320,320,320,480,320,320,LOW(1)
hd saison vay,Competitor_HDSaison,Vietnam,VI,1000,590,720,480,590,590,590,720,720,720,880,1000,880,880,880,720,720,720,590,590,590,720,720,880,MEDIUM(62)
công ty tài chính hd saison,Competitor_HDSaison,Vietnam,VI,1300,590,1000,880,880,1000,880,720,720,590,590,480,390,390,590,480,390,390,390,390,390,590,390,390,LOW(4)
cong ty tai chinh hdsaison,Competitor_HDSaison,Vietnam,VI,1300,590,1000,880,880,1000,880,720,720,590,590,480,390,390,590,480,390,390,390,390,390,590,390,390,LOW(4)
vay hd,Competitor_HDSaison,Vietnam,VI,590,320,590,590,590,720,590,590,590,590,720,590,480,480,590,590,480,590,590,480,590,590,590,590,HIGH(73)
vay tiền hd saison,Competitor_HDSaison,Vietnam,VI,880,590,720,880,880,720,720,590,590,590,590,720,480,390,480,480,390,390,390,390,390,390,320,390,MEDIUM(67)
thủ tục vay hd saison,Competitor_HDSaison,Vietnam,VI,1000,480,720,720,880,880,880,720,590,590,590,590,390,320,390,210,260,210,210,170,170,210,210,210,MEDIUM(38)
hd saison trả góp,Competitor_HDSaison,Vietnam,VI,720,390,590,480,480,390,390,480,390,390,390,480,480,390,390,390,320,480,480,390,480,590,480,480,LOW(12)
trả góp hd saison,Competitor_HDSaison,Vietnam,VI,590,480,480,480,480,480,480,480,480,480,390,390,320,390,390,320,320,260,320,320,320,260,210,260,LOW(4)
điều kiện vay hd saison,Competitor_HDSaison,Vietnam,VI,480,260,480,480,480,480,390,480,480,390,480,390,390,320,390,320,320,260,260,260,260,260,210,260,LOW(19)
vay tiền hd saison không trả,Competitor_HDSaison,Vietnam,VI,260,210,390,320,480,390,390,390,320,320,320,320,260,260,210,210,170,170,210,260,210,260,260,320,LOW(2)
vay hd saison online,Competitor_HDSaison,Vietnam,VI,880,480,480,480,390,390,320,320,390,210,110,70,50,40,50,40,50,50,50,50,40,70,70,90,MEDIUM(66)
vay tiền mặt hd saison,Competitor_HDSaison,Vietnam,VI,480,210,320,260,320,320,320,260,210,210,170,210,170,140,170,140,170,170,170,170,170,140,140,110,MEDIUM(59)
cong ty hd,Competitor_HDSaison,Vietnam,VI,210,140,260,210,210,260,170,170,140,210,170,170,170,140,170,140,170,170,170,110,210,170,210,140,LOW(0)
vay hdsaison,Competitor_HDSaison,Vietnam,VI,170,50,90,170,210,260,260,210,260,210,210,210,210,170,170,140,110,110,90,140,210,210,170,210,HIGH(69)
mở the tín dụng hd saison online,Competitor_HDSaison,Vietnam,VI,590,210,260,390,260,260,320,210,170,170,170,260,140,110,90,70,90,70,70,50,50,70,70,40,MEDIUM(65)
app hd saison,Competitor_HDSaison,Vietnam,VI,320,90,480,260,210,210,170,260,210,170,140,210,110,110,140,110,110,110,110,110,110,90,110,140,LOW(9)
hd saison trả góp điện thoại,Competitor_HDSaison,Vietnam,VI,320,260,260,260,210,210,210,170,210,170,260,170,140,140,140,90,70,90,90,70,110,110,90,90,HIGH(97)
vay tín chấp hd saison,Competitor_HDSaison,Vietnam,VI,390,170,320,260,260,260,170,170,140,170,170,170,90,90,70,90,140,110,90,90,90,90,110,140,HIGH(68)
mở thẻ tín dụng hd saison,Competitor_HDSaison,Vietnam,VI,320,140,170,210,170,140,210,170,170,140,140,170,140,110,140,110,110,140,140,140,140,170,140,90,HIGH(69)
cty tài chính hd saison,Competitor_HDSaison,Vietnam,VI,320,170,320,170,210,210,260,170,170,110,110,110,70,70,140,140,110,110,110,90,90,140,70,50,LOW(9)
đăng ký tài khoản hd saison,Competitor_HDSaison,Vietnam,VI,320,110,210,260,140,170,140,140,140,140,140,140,110,70,140,90,110,140,110,90,110,140,140,140,LOW(15)
vay tiêu dùng hd saison,Competitor_HDSaison,Vietnam,VI,170,70,140,170,170,170,110,110,140,110,140,140,90,70,70,90,90,70,70,70,90,70,110,110,MEDIUM(60)
vay hd saison qua app,Competitor_HDSaison,Vietnam,VI,50,40,70,40,40,30,50,40,30,30,40,30,40,10,260,320,210,210,140,90,170,140,170,170,HIGH(67)
đăng ký vay hd saison,Competitor_HDSaison,Vietnam,VI,110,40,90,140,90,70,90,90,90,70,70,90,110,70,110,90,90,110,110,110,110,90,90,110,HIGH(71)
saison hd,Competitor_HDSaison,Vietnam,VI,320,140,170,170,110,90,90,90,70,70,70,50,40,50,50,40,50,90,110,90,70,50,70,90,LOW(20)
tài hd saison,Competitor_HDSaison,Vietnam,VI,260,70,260,140,70,90,110,140,170,110,110,110,70,50,40,50,70,50,50,50,40,20,20,40,LOW(18)
vay online hd saison,Competitor_HDSaison,Vietnam,VI,140,110,110,70,90,140,110,140,20,20,70,90,90,70,70,90,70,90,70,70,90,70,70,110,HIGH(69)
đăng ký hd saison,Competitor_HDSaison,Vietnam,VI,110,50,110,90,70,70,70,70,90,90,90,70,70,70,90,70,70,70,70,70,70,110,90,90,MEDIUM(59)
điều kiện mở the tín dụng hd saison,Competitor_HDSaison,Vietnam,VI,210,110,170,110,110,140,110,110,90,70,90,110,90,40,50,30,50,30,20,40,20,10,10,10,UNSPECIFIED
công ty tài chính hd,Competitor_HDSaison,Vietnam,VI,110,70,140,110,90,90,110,110,50,70,70,90,40,70,70,70,70,50,90,50,50,50,40,70,LOW(5)
vay ngân hàng hd saison,Competitor_HDSaison,Vietnam,VI,110,50,70,50,90,70,110,110,50,90,70,70,50,70,50,40,50,50,50,40,30,40,30,30,MEDIUM(63)
vay trả góp hd saison,Competitor_HDSaison,Vietnam,VI,90,70,90,70,70,90,70,70,70,90,70,70,50,40,50,40,50,50,40,40,50,40,30,40,MEDIUM(43)
vay vốn hd saison,Competitor_HDSaison,Vietnam,VI,110,50,90,70,110,110,70,70,40,50,70,30,30,50,40,50,40,40,50,20,30,30,40,40,HIGH(74)
hd saison vay online,Competitor_HDSaison,Vietnam,VI,70,20,30,20,30,50,40,40,30,50,40,50,50,40,30,40,30,210,30,30,30,70,110,90,MEDIUM(63)
hd saison app,Competitor_HDSaison,Vietnam,VI,50,40,210,90,50,40,40,40,40,50,50,50,30,70,40,50,40,30,40,30,30,50,20,30,LOW(8)
vay app hd saison,Competitor_HDSaison,Vietnam,VI,70,40,90,70,70,70,70,50,50,70,70,70,50,30,20,40,30,20,30,30,30,30,30,30,MEDIUM(58)
cách vay online hd saison,Competitor_HDSaison,Vietnam,VI,30,10,20,20,20,20,10,20,30,40,40,30,40,20,20,50,50,30,40,20,30,70,140,320,MEDIUM(59)
cty tai chinh tnhh hd saison,Competitor_HDSaison,Vietnam,VI,90,30,110,70,90,50,50,70,70,40,50,50,20,30,30,30,30,20,30,30,20,20,30,20,LOW(4)
cty tài chính tnhh hd saison,Competitor_HDSaison,Vietnam,VI,90,30,110,70,90,50,50,70,70,40,50,50,20,30,30,30,30,20,30,30,20,20,30,20,LOW(4)
vay 10 triệu hd saison,Competitor_HDSaison,Vietnam,VI,140,70,50,50,70,40,70,50,40,50,40,40,40,20,30,20,30,30,30,30,30,30,20,20,HIGH(72)
tông đai hd saison,Competitor_HDSaison,Vietnam,VI,90,50,70,70,50,70,40,30,20,30,40,40,40,30,50,40,50,70,50,20,10,10,10,40,LOW(16)
các gói vay hd saison,Competitor_HDSaison,Vietnam,VI,30,20,40,30,30,40,50,50,50,50,50,70,30,40,40,50,50,30,20,40,30,50,70,50,LOW(31)
cty tnhh hd saison,Competitor_HDSaison,Vietnam,VI,70,30,110,70,40,90,70,70,70,50,40,50,20,10,20,20,10,10,20,20,20,20,20,10,LOW(0)
vay tín dụng hd saison,Competitor_HDSaison,Vietnam,VI,70,30,50,90,70,70,50,50,40,40,50,40,30,20,30,20,20,30,20,20,30,20,40,20,MEDIUM(50)
app hdsaison,Competitor_HDSaison,Vietnam,VI,50,20,110,70,50,50,40,40,40,20,50,30,30,20,50,40,30,30,40,20,30,30,20,20,LOW(1)
cty hdsaison,Competitor_HDSaison,Vietnam,VI,70,20,70,40,40,40,70,70,50,40,20,30,10,30,40,30,30,30,30,20,30,70,30,10,LOW(2)
cách đăng ký app hd saison,Competitor_HDSaison,Vietnam,VI,110,50,70,50,40,40,40,30,40,20,30,30,30,30,30,30,30,10,20,20,40,40,30,40,LOW(2)
mở thẻ hd saison,Competitor_HDSaison,Vietnam,VI,110,50,50,50,40,40,30,30,30,30,30,40,40,20,30,20,20,10,20,20,10,20,10,30,MEDIUM(53)
vay tiền online hd saison,Competitor_HDSaison,Vietnam,VI,70,30,50,40,20,40,50,40,30,30,40,30,30,20,20,30,20,20,20,20,30,20,20,30,HIGH(81)
tạo tài khoản hd saison,Competitor_HDSaison,Vietnam,VI,40,10,30,40,40,30,30,30,30,50,20,30,40,20,20,40,20,20,30,30,30,30,30,30,LOW(6)
hd saison vay trả góp,Competitor_HDSaison,Vietnam,VI,50,40,40,30,40,40,40,50,30,30,30,30,20,10,10,10,20,10,10,10,20,10,40,40,MEDIUM(56)
làm thẻ tín dụng hd saison,Competitor_HDSaison,Vietnam,VI,50,30,40,50,50,30,50,30,30,40,30,30,30,20,30,20,10,10,10,10,10,10,10,10,MEDIUM(47)
mở the tín dụng hd saison,Competitor_HDSaison,Vietnam,VI,90,50,50,70,50,40,40,40,20,20,10,30,30,10,10,10,10,10,0,10,10,0,10,10,LOW(29)
có nên vay hd saison,Competitor_HDSaison,Vietnam,VI,50,20,30,40,30,30,40,30,30,40,30,30,30,10,20,20,10,20,20,10,10,30,20,30,LOW(8)
cty tai chinh hd saison,Competitor_HDSaison,Vietnam,VI,40,30,70,40,50,50,50,30,30,40,30,10,20,20,30,10,10,10,10,10,10,10,10,10,LOW(2)
vay tiền bên hd saison,Competitor_HDSaison,Vietnam,VI,40,20,40,30,30,50,20,20,30,40,30,30,20,20,10,10,10,10,20,10,20,20,10,20,MEDIUM(54)
app vay tiền hd saison,Competitor_HDSaison,Vietnam,VI,40,10,20,20,20,10,20,20,20,20,20,20,20,10,20,10,20,30,10,20,20,20,70,20,MEDIUM(65)
vay tiền ngân hàng hd saison,Competitor_HDSaison,Vietnam,VI,90,20,20,10,30,20,20,40,40,30,10,10,10,10,10,10,10,10,10,10,10,10,20,10,MEDIUM(60)
đăng ký the tín dụng hd saison,Competitor_HDSaison,Vietnam,VI,50,20,30,20,10,20,20,20,20,20,30,20,10,10,20,10,20,20,10,10,10,10,10,10,LOW(0)
vay tiền trả góp hd saison,Competitor_HDSaison,Vietnam,VI,20,20,30,20,10,20,20,10,20,10,10,10,20,50,10,10,20,10,10,10,10,10,10,10,MEDIUM(64)
ngan hang hdsaison,Competitor_HDSaison,Vietnam,VI,50,20,30,10,10,20,30,10,10,10,20,20,10,20,10,20,10,10,10,10,10,10,10,10,LOW(14)
vay tiền nhanh hd saison,Competitor_HDSaison,Vietnam,VI,50,20,20,20,10,20,20,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,HIGH(86)
tài ứng dụng hd saison,Competitor_HDSaison,Vietnam,VI,30,10,30,20,20,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,LOW(0)
đăng ký thẻ tín dụng hd saison,Competitor_HDSaison,Vietnam,VI,40,10,10,20,10,20,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,20,10,MEDIUM(65)
cho vay hd saison,Competitor_HDSaison,Vietnam,VI,10,10,10,10,10,10,20,10,10,10,20,20,10,20,10,10,10,20,10,10,10,10,10,10,MEDIUM(59)
vay tiền mặt tại hd saison,Competitor_HDSaison,Vietnam,VI,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,HIGH(86)
tại hd saison,Competitor_HDSaison,Vietnam,VI,10,10,20,10,0,0,10,10,10,10,10,10,10,0,10,10,10,0,10,10,10,10,10,10,LOW(0)
cho vay tin chap hd saison,Competitor_HDSaison,Vietnam,VI,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,0,10,0,10,10,UNSPECIFIED
